[invalid-url-ref] lassberg-place-0182: @ref is not a URL, dropped: '-'
[invalid-url-ref] lassberg-place-0193: @ref is not a URL, dropped: '-'
[invalid-url-ref] lassberg-place-0198: @ref is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0291: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0384: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0386: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0387: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0388: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0392: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0439: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0441: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0445: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0494: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0538: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0555: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0593: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0606: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0632: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0644: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0664: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0691: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0695: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0712: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0838: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0846: url_facsimile is not a URL, dropped: 'done'
[invalid-url-note] lassberg-letter-0860: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0887: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0937: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0945: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0947: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-0970: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1068: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1129: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1142: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1181: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1190: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1224: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1254: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1275: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1278: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1314: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1325: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1326: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1333: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1347: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1357: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1418: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1435: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1441: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1473: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1494: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1501: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1548: published_in_url is not a URL, dropped: '-'
