ID;Nummer_Harris;Ort;Name;GND;Wiki;Journalnummer;Aufbewahrungsort;Aufbewahrungsinstitution;Jahr;VON/AN;person_id;name_gnd;gender_gnd;birth_gnd;occupations_gnd;publications_gnd;degrees_gnd;coordinates_wiki;text;url;place_id;Datum;letter_text;status_letter_text;summary_en;persons_mentioned;topics_mentioned;normalized_text
lassberg-letter-3101;71;Unbekannt;Elisabeth zu Fürstenberg;136284124;https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg;111;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1807;VON;lassberg-correspondent-0076;Fürstenberg, Elisabeth zu;female;1767;-;-;-;-;;;lassberg-place-0152;1807;;;;;;
lassberg-letter-3102;134;Unbekannt;Joseph Thaddäus von Reischach;1018398708;-;;Schlatt unter Krähen;Freiherrlich Reischachsches Archiv;1809;VON;lassberg-correspondent-0237;Reischach, Joseph Thaddäus von;male;1768;Söldner,Kämmerer;-;-;-;Helmut Maurer, Joseph von Laßbergs politische Haltung im Lichte neuer Quellen. In: Hegau 6 (1958), S. 119-36, S. 125;https://www.hegau-geschichtsverein.de/wp-content/uploads/hegau_06_1958_maurer_briefe_lassberg_reischach.pdf;lassberg-place-0152;1809;;;;;;
lassberg-letter-3103;135;Unbekannt;Joseph Thaddäus von Reischach;1018398708;-;;Schlatt unter Krähen;Freiherrlich Reischachsches Archiv;1809;VON;lassberg-correspondent-0237;Reischach, Joseph Thaddäus von;male;1768;Söldner,Kämmerer;-;-;-;Helmut Maurer, Joseph von Laßbergs politische Haltung im Lichte neuer Quellen. In: Hegau 6 (1958), S. 119-36, S. 126/t;https://www.hegau-geschichtsverein.de/wp-content/uploads/hegau_06_1958_maurer_briefe_lassberg_reischach.pdf;lassberg-place-0152;1809;;;;;;
lassberg-letter-3104;189;Unbekannt;Domänenkanzlei;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1814;VON;lassberg-correspondent-0074;-;-;-;-;-;-;-;;;lassberg-place-0152;1814;;;;;;
lassberg-letter-3105;460;Unbekannt;Franz Becker;11610290X;-;248;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1823;VON;lassberg-correspondent-0094;Becker, Franz;male;1798;Prediger,Theologe;-;-;-;;;lassberg-place-0152;1823;;;;;;
lassberg-letter-3106;536;Eppishausen;Johann Rudolf Wyss;117349666;https://de.wikipedia.org/wiki/Johann_Rudolf_Wyss;41;Bern;Burgerbibliothek;1826;VON;lassberg-correspondent-0215;Wyss, Johann Rudolf;male;1781;Schriftsteller,Philosoph;7;-;48.16666667,10.51666667;;;lassberg-place-0043;1826;;;;;;
lassberg-letter-3107;546;Heiligenberg;Gustav Schwab;118762745;https://de.wikipedia.org/wiki/Gustav_Schwab;92;Tübingen;Universitätsbibliothek;1826;VON;lassberg-correspondent-0145;Schwab, Gustav;male;1792;Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker;8;Prof. Dr. theol. h.c.;47.82083333,9.3125;;;lassberg-place-0066;1826;;;;;;
lassberg-letter-3108;549;Heiligenberg;Gustav Schwab;118762745;https://de.wikipedia.org/wiki/Gustav_Schwab;97;Tübingen;Universitätsbibliothek;1826;VON;lassberg-correspondent-0145;Schwab, Gustav;male;1792;Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker;8;Prof. Dr. theol. h.c.;47.82083333,9.3125;;;lassberg-place-0066;1826;;;;;;
lassberg-letter-3109;620;Unbekannt;Jacob Grimm;118542257;https://de.wikipedia.org/wiki/Jacob_Grimm;227;Berlin;Staatsbibliothek Preussischer Kulturbesitz;1828;VON;lassberg-correspondent-0170;Grimm, Jacob;male;1785;Bibliothekar,Philologe,Schriftsteller,Historiker,Literaturwissenschaftler,Jurist,Hochschullehrer;6;Prof.;-;Albert Leitzmann, Briefe des Freiherrn Joseph von Laßberg an Jakob Grimm. In: Sitzungsberichte der Preußischen Akademie der Wissenschaften. Berlin 1931, S. 1026-1105, S. 1048;-;lassberg-place-0152;1828;;;;;;
lassberg-letter-3110;628;Eppishausen;Egbert Friedrich von Mülinen;101397593;https://de.wikipedia.org/wiki/Egbert_Friedrich_von_M%C3%BClinen;;Bern;Burgerbibliothek;1829;VON;lassberg-correspondent-0075;Mülinen, Egbert Friedrich von;male;1817;Historiker,Privatgelehrter;2;-;48.16666667,10.51666667;;;lassberg-place-0043;1829;;;;;;
