PersonName;GND;Wiki;person_id;full_name;gender;birth;occupation;degrees;publications
Peter Bion;135548888;https://de.wikipedia.org/wiki/Peter_Bion;lassberg-correspondent-0319;Bion, Peter;male;1684;Unternehmer,Kaufmann;-;-
Josef Friedrich Wilhelm von Hohenzollern-Hechingen;129884251;https://de.wikipedia.org/wiki/Josef_Friedrich_Wilhelm_%28Hohenzollern-Hechingen%29;lassberg-correspondent-0220;Joseph Friedrich Wilhelm, Hohenzollern-Hechingen, Fürst;male;1717;Militär;-;-
Johann Alphons von Lugo-;172709563;-;lassberg-correspondent-0181;Lugo, Johann Alphons von;notKnown;1745;-;-;-
Franz Bernhard Neuffer;1026633168;https://de.wikipedia.org/wiki/Franz_Bernhard_Neuffer;lassberg-correspondent-0095;Neuffer, Franz Bernhard;male;1747;Pfarrer;1;-
Joachim Egon zu Fürstenberg;143295446;https://de.wikipedia.org/wiki/Joachim_Egon_zu_F%C3%BCrstenberg;lassberg-correspondent-0177;Fürstenberg-Weitra, Joachim Eugen zu;male;1749;-;-;-
Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-
Franz Augustin Götz;121144097;-;lassberg-correspondent-0093;Götz, Franz Augustin;notKnown;1752;-;-;-
Joseph Roth von Schreckenstein;100660355;https://de.wikipedia.org/wiki/Friedrich_Josef_Anton_von_Schreckenstein;lassberg-correspondent-0236;Roth von Schreckenstein, Friedrich;male;1753;Naturwissenschaftler,Beamter;4;-
Friedrich Wilhelm Karl von Württemberg;118703218;https://de.wikipedia.org/wiki/Friedrich_(W%C3%BCrttemberg);lassberg-correspondent-0127;Friedrich I., Württemberg, König;male;1754;-;4;-
Joseph Albrecht von Ittner;117212555;https://de.wikipedia.org/wiki/Joseph_Albrecht_von_Ittner;lassberg-correspondent-0224;Ittner, Joseph Albrecht von;male;1754;Politiker,Schriftsteller,Diplomat,Jurist;2;-
Ildefons von Arx;116353740;https://de.wikipedia.org/wiki/Ildefons_von_Arx;lassberg-correspondent-0169;Arx, Ildefons von;male;1755;Mönch,Bibliothekar,Archivar,Geistlicher,Historiker,Domkapitular;-;-
Johanna Josepha von Oettingen-Spielberg;117108618;-;lassberg-correspondent-0218;Oettingen-Spielberg, Johanna Josepha von;female;1756;-;-;-
Georg Escher vom Berg;1046853996;-;lassberg-correspondent-0133;Escher vom Berg, Georg;male;1756;Schriftsteller,Gutsherr;-;-
