Nummer;Datum;Ort;Name_voll;GND_x;Wiki_x;Absender/Empfänger;Journalnummer;Aufbewahrungsort_Kürzel;Aufbewahrungsort;Aufbewahrungsinstitution;Zusatz;Druck;Jahr;Kommentar;VON/AN;GND_y;Wiki_y;person_id;name_gnd;gender_gnd;birth_gnd;occupations_gnd;publications_gnd;degrees_gnd;coordinates_wiki;lat;long;place_id
2626;22.06.;Bern;Achille Jubinal;117212997;https://de.wikipedia.org/wiki/Achille_Jubinal;Jubinal;;D FH;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1838;;AN;117212997;https://de.wikipedia.org/wiki/Achille_Jubinal;lassberg-correspondent-0001;Jubinal, Achille;male;1810;Romanist,Mediävist,Politiker,Schriftsteller,Literarhistoriker;10;-;46.94805556,7.4475;46.94805556;7.4475;lassberg-place-0001
2630;05.07.;Bern;Achille Jubinal;117212997;https://de.wikipedia.org/wiki/Achille_Jubinal;Jubinal;;D FH;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1838;;AN;117212997;https://de.wikipedia.org/wiki/Achille_Jubinal;lassberg-correspondent-0001;Jubinal, Achille;male;1810;Romanist,Mediävist,Politiker,Schriftsteller,Literarhistoriker;10;-;46.94805556,7.4475;46.94805556;7.4475;lassberg-place-0001
1186;28.07.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;129;K JB;Krakau;Jagiellonische Bibliothek;;;1842;;VON;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;lassberg-correspondent-0002;Keller, Adelbert von;male;1812;Romanist,Linguist,Germanist,Philologe,Bibliothekar;9;Prof. Dr.;47.7,9.26666667;47.7;9.26666667;lassberg-place-0002
1276;02.11.;ohne_Ortsangabe;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;172;K BLB;Karlsruhe;Badische Landesbibliothek;Entwurf;;1845;;VON;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;lassberg-correspondent-0002;Keller, Adelbert von;male;1812;Romanist,Linguist,Germanist,Philologe,Bibliothekar;9;Prof. Dr.;-;-;;lassberg-place-0003
1278;14.11.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;173;K JB;Krakau;Jagiellonische Bibliothek;;;1845;;VON;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;lassberg-correspondent-0002;Keller, Adelbert von;male;1812;Romanist,Linguist,Germanist,Philologe,Bibliothekar;9;Prof. Dr.;47.7,9.26666667;47.7;9.26666667;lassberg-place-0002
1280;28.11.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;184;K JB;Krakau;Jagiellonische Bibliothek;;;1845;;VON;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;lassberg-correspondent-0002;Keller, Adelbert von;male;1812;Romanist,Linguist,Germanist,Philologe,Bibliothekar;9;Prof. Dr.;47.7,9.26666667;47.7;9.26666667;lassberg-place-0002
1281;29.11.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;187;K JB;Krakau;Jagiellonische Bibliothek;;;1845;;VON;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;lassberg-correspondent-0002;Keller, Adelbert von;male;1812;Romanist,Linguist,Germanist,Philologe,Bibliothekar;9;Prof. Dr.;47.7,9.26666667;47.7;9.26666667;lassberg-place-0002
1295;31.03.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;57;K JB;Krakau;Jagiellonische Bibliothek;;;1846;;VON;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;lassberg-correspondent-0002;Keller, Adelbert von;male;1812;Romanist,Linguist,Germanist,Philologe,Bibliothekar;9;Prof. Dr.;47.7,9.26666667;47.7;9.26666667;lassberg-place-0002
1299;11.05.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;84;T UB;Tübingen;Universitätsbibliothek;;;1846;;VON;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;lassberg-correspondent-0002;Keller, Adelbert von;male;1812;Romanist,Linguist,Germanist,Philologe,Bibliothekar;9;Prof. Dr.;47.7,9.26666667;47.7;9.26666667;lassberg-place-0002
1400;16.02.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;T UB;Tübingen;Universitätsbibliothek;;;1849;;VON;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;lassberg-correspondent-0002;Keller, Adelbert von;male;1812;Romanist,Linguist,Germanist,Philologe,Bibliothekar;9;Prof. Dr.;47.7,9.26666667;47.7;9.26666667;lassberg-place-0002
