Nummer;Datum;Ort;Name_voll;GND;Wiki;Journalnummer;Aufbewahrungsort;Aufbewahrungsinstitution;Jahr;VON/AN;person_id;name_gnd;gender_gnd;birth_gnd;occupations_gnd;publications_gnd;degrees_gnd;coordinates_wiki_x;text;url;coordinates_wiki_y;place_id
1993;21.12.;Aarau;Adolf Ludwig Follen;116646772;https://de.wikipedia.org/wiki/Adolf_Ludwig_Follen;;Bern;Burgerbibliothek;1823;AN;lassberg-correspondent-0004;Follen, August Adolf Ludwig;male;1794;Schriftsteller,Philosoph,Philologe;4;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
402;29.03.;Aarau;Anton Aloys Meinrad Franz von Hohenzollern-Sigmaringen;131601555;https://de.wikipedia.org/wiki/Anton_Aloys_(Hohenzollern-Sigmaringen);;Sigmaringen;Staatsarchiv;1822;VON;lassberg-correspondent-0019;Anton Aloys, Hohenzollern-Sigmaringen, FÃ¼rst;notKnown;1762;-;-;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
404;07.04.;Aarau;Egbert Friedrich von MÃ¼linen;101397593;https://de.wikipedia.org/wiki/Egbert_Friedrich_von_M%C3%BClinen;51;Bern;Burgerbibliothek;1822;VON;lassberg-correspondent-0075;MÃ¼linen, Egbert Friedrich von;male;1817;Historiker,Privatgelehrter;2;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
1823;13.10.;Aarau;Heinrich Remigius SauerlÃ¤nder;119138425;https://de.wikipedia.org/wiki/Heinrich_Remigius_Sauerl%C3%A4nder_(Verleger,_1776);;Luzern;Staatsarchiv;1819;AN;lassberg-correspondent-0152;SauerlÃ¤nder, Heinrich Remigius;male;1776;Verleger,Drucker,BuchhÃ¤ndler;-;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
2572;14.05.;Aarau;Heinrich Zschokke;118637266;https://de.wikipedia.org/wiki/Heinrich_Zschokke;;Donaueschingen;FÃ¼rstlich FÃ¼rstenbergisches Archiv;1837;AN;lassberg-correspondent-0154;Zschokke, Heinrich;male;1771;Historiker,Politiker,Schriftsteller;10;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
401;20.03.;Aarau;Hermann von Hoevel;116933402;-;;Karlsruhe;Badische Landesbibliothek;1822;VON;lassberg-correspondent-0159;Hoevel, Hermann von;male;-;-;-;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
406;14.05.;Aarau;Johann Caspar von Orelli;118787179;https://de.wikipedia.org/wiki/Johann_Caspar_von_Orelli;;ZÃ¼rich;Zentralbibliothek;1822;VON;lassberg-correspondent-0192;Orelli, Johann Kaspar von;male;1787;Schriftsteller,Theologe,Klassischer Philologe,Pfarrer;5;Prof.;47.4,8.05;;;47.4,8.05;lassberg-place-0001
1992;20.12.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1823;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 104-07/t;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
1996;20.01.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1824;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 143/R;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2131;13.09.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1826;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 109/t;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
