Nummer|Datum|Ort|Name_voll|GND|Wiki|Journalnummer|Aufbewahrungsort|Aufbewahrungsinstitution|Jahr|VON/AN|person_id|name_gnd|gender_gnd|birth_gnd|occupations_gnd|publications_gnd|degrees_gnd|coordinates_wiki|text|url|place_id|date|letter_text|status_letter_text
1|08.03.|Donaueschingen|Regierungspräsidium|-|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1792|VON|lassberg-correspondent-0328|-|-|-|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1792-03-08||
2|19.09.|Donaueschingen|Hofkammer|-|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1792|VON|lassberg-correspondent-0165|-|-|-|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1792-09-19||
3|01.02.|Heiligenberg|Joseph Maria Benedikt zu Fürstenberg-Stühlingen|1021174238|https://de.wikipedia.org/wiki/Joseph_Maria_%28F%C3%BCrstenberg-St%C3%BChlingen%29||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1795|VON|lassberg-correspondent-0234|Joseph Maria Benedikt Karl, Fürstenberg, Fürst|male|1758|-|-|-|47.82083333,9.3125|||lassberg-place-0066|1795-02-01||
4|18.11.|Unbekannt|Hofkammer|-|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1795|VON|lassberg-correspondent-0165|-|-|-|-|-|-|-|||lassberg-place-0152|1795-11-18||
5|20.08.|Heiligenberg|Hofkammer|-|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1799|VON|lassberg-correspondent-0165|-|-|-|-|-|-|47.82083333,9.3125|||lassberg-place-0066|1799-08-20||
6|28.02.|Helmsdorf|Joseph Roth von Schreckenstein|100660355|https://de.wikipedia.org/wiki/Friedrich_Josef_Anton_von_Schreckenstein|62|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1800|VON|lassberg-correspondent-0236|Roth von Schreckenstein, Friedrich|male|1753|Naturwissenschaftler,Beamter|4|-|-|||lassberg-place-0067|1800-02-28||
7|25.04.|Heiligenberg|Hofkammer|-|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1800|VON|lassberg-correspondent-0165|-|-|-|-|-|-|47.82083333,9.3125|||lassberg-place-0066|1800-04-25||
8|18.07.|Heiligenberg|Fürstlich Fürstenbergische Forstkammer|-|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1800|VON|lassberg-correspondent-0129|-|-|-|-|-|-|47.82083333,9.3125|||lassberg-place-0066|1800-07-18||
9|01.01.|Helmsdorf|Joseph Roth von Schreckenstein|100660355|https://de.wikipedia.org/wiki/Friedrich_Josef_Anton_von_Schreckenstein|3|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1801|VON|lassberg-correspondent-0236|Roth von Schreckenstein, Friedrich|male|1753|Naturwissenschaftler,Beamter|4|-|-|||lassberg-place-0067|1801-01-01||
10|10.04.|Heiligenberg|Karl Joachim (Fürstenberg-Stühlingen)|1017810869|https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen)||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1802|VON|lassberg-correspondent-0259|Karl Joachim, Fürstenberg, Fürst|male|1771|Soldat|-|-|47.82083333,9.3125|||lassberg-place-0066|1802-04-10||
11|21.08.|Heiligenberg|Fürstlich Fürstenbergische Forstkammer|-|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1802|VON|lassberg-correspondent-0129|-|-|-|-|-|-|47.82083333,9.3125|||lassberg-place-0066|1802-08-21||
12|12.09.|Habstal|Hofkammer|-|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1802|VON|lassberg-correspondent-0165|-|-|-|-|-|-|-|||lassberg-place-0062|1802-09-12||
