xml_id,entry_tag,type,title,authors,editors,pub_places,publishers,dates_text,date_attrs,notes,source_files,idno_varia,idno_riopac,idno_gnd,idno_geschichtsquellen,idno_handschriftencensus,idno_googlebooks,idno_gw,idno_uri,idno_opac_ri,idno_kalliope,idno_doi,idno_mdz,idno_dnb,idno_hathitrust,idno_bsb,idno_bsbink,idno_istc,idno_worldcat,idno_bavarikon,idno_archive,idno_dmgh
lassberg-literature-0001,bibl | biblStruct,contemporaryPublication,Fabeln aus den Zeiten der Minnesinger,"Johann Jakob Bodmer | Boner, Ulrich","Bodmer, Johann Jakob | Breitinger, Johann Jakob",Zürich,Orell und Compagnie,1757,when=1757,"Vorlageform des Erscheinungsvermerks: Zürich, auf Kosten der Gesellschaft gedruckt bey Orell und Compagnie.",lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,,,https://digi.ub.uni-heidelberg.de/diglit/boner1757,,,,,,,,,,,,,
lassberg-literature-0002,bibl,historicalSource,Memorabilium omnis aetatis et omnium gentium chronici commentarii,Johannes Nauclerus,,,,1501-1514,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,https://www.geschichtsquellen.de/werk/3584,,,,,,,,,,,,,,,,,
lassberg-literature-0003,bibl,contemporaryPublication,Bischofzell: dargestellt nach seinem gegenwärtigen Zustande und seinen bisherigen Schicksalen. Thurgauer Neujahrsblatt 2,Johann Adam Pupikofer,,Frauenfeld,,1825,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,http://opac.regesta-imperii.de/id/892798,,,,,,,,,,,,,,,,,,,
lassberg-literature-0004,bibl,historicalSource,Klingenberger Chronik,,,,,1460,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,https://d-nb.info/gnd/7576582-2,https://www.geschichtsquellen.de/werk/1096,https://handschriftencensus.de/werke/4111,,,,,,,,,,,,,,,,
lassberg-literature-0005,bibl,contemporaryPublication,Chronicon Helveticum,Aegidius Tschudi | Johann Rudolf Iselin,,Basel,,1734,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,,,,,,,,,,,,,,,,
lassberg-literature-0006,bibl,contemporaryPublication,Hallers kritischem Verzeichnisse aller Schriften,Gottlieb Emanuel Haller,,Bern,,1759–1770,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,https://hallernet.org/data/publication/15002,,,,,,,,,,,,,,,,,,,,
lassberg-literature-0007,bibl,contemporaryPublication,Bibliothek der Schweizergeschichte,Gottlieb Emanuel Haller,,Bern,,1785,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,,,,,,,,,,,,,,,,
lassberg-literature-0008,bibl,contemporaryPublication,Von Auf- und Abgang der Herzogen von Zähringen.,Johannes Langhans,,Bern,,1642,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,,,,,,,,,,,,,,,,
lassberg-literature-0009,bibl,historicalSource,Habsburger-Chronik,Heinrich von Klingenberg,,,,1260-1306,,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,http://www.geschichtsquellen.de/werk/2711,,,,,,,,,,,,,,,,,
lassberg-literature-0010,bibl | biblStruct,contemporaryPublication,Geschichte der Hohenstaufen und ihrer Zeit,Friedrich von Raumer,,Leipzig,F. A. Brockhaus,1823,from=1823;to=1825,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,http://opac.regesta-imperii.de/id/40301,,,,https://books.google.com/books?id=264rc1A6GaEC,,,http://opac.regesta-imperii.de/id/40301,,,,,https://catalog.hathitrust.org/Record/000411685,,,,,,,
