Nummer;Datum;Ort;Name_voll;GND;Wiki;Absender/Empfänger;Journalnummer;Aufbewahrungsort_Kürzel;Aufbewahrungsort;Aufbewahrungsinstitution;Zusatz;Druck;Jahr;Kommentar;VON/AN
2626;22.06.;Bern;Achille Jubinal;117212997;https://de.wikipedia.org/wiki/Achille_Jubinal;Jubinal;;D FH;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1838;;AN
2630;05.07.;Bern;Achille Jubinal;117212997;https://de.wikipedia.org/wiki/Achille_Jubinal;Jubinal;;D FH;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1838;;AN
1186;28.07.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;129;K JB;Krakau;Jagiellonische Bibliothek;;;1842;;VON
1276;02.11.;ohne_Ortsangabe;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;172;K BLB;Karlsruhe;Badische Landesbibliothek;Entwurf;;1845;;VON
1278;14.11.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;173;K JB;Krakau;Jagiellonische Bibliothek;;;1845;;VON
1280;28.11.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;184;K JB;Krakau;Jagiellonische Bibliothek;;;1845;;VON
1281;29.11.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;187;K JB;Krakau;Jagiellonische Bibliothek;;;1845;;VON
1295;31.03.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;57;K JB;Krakau;Jagiellonische Bibliothek;;;1846;;VON
1299;11.05.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;84;T UB;Tübingen;Universitätsbibliothek;;;1846;;VON
1400;16.02.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;T UB;Tübingen;Universitätsbibliothek;;;1849;;VON
1406;10.04.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A./Holland;56;T UB;Tübingen;Universitätsbibliothek;;;1849;;VON
1407;10.04.;Meersburg;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A./Holland;;T UB;Tübingen;Universitätsbibliothek;Abschrift;;1849;;VON
2763;11.08.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1842;;AN
2889;31.10.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1845;;AN
2892;27.11.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1845;;AN
2894;07.12.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1845;;AN
2907;10.04.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1846;;AN
2908;16.04.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1846;;AN
2909;13.05.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1846;;AN
2924;17.09.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1846;;AN
2943;21.01.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1847;;AN
3019;18.02.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1849;;AN
3027;26.04.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1849;;AN
3106;09.04.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1851;;AN
3145;18.03.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1853;;AN
3151;02.05.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1853;;AN
3178;18.11.;Tübingen;Adelbert von Keller;118831216;https://de.wikipedia.org/wiki/Adelbert_von_Keller;Keller A.;;D FH;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1854;;AN
1272;05.08.;ohne_Ortsangabe;Adelrich Rothweiler;-;-;Rothweiler;;K BLB;Karlsruhe;Badische Landesbibliothek;Entwurf;;1845;;VON
605;11.08.;Eppishausen;Adolf Ludwig Follen;116646772;https://de.wikipedia.org/wiki/Adolf_Ludwig_Follen;Follen;132;W SB;Winterthur;Stadtbibliothek;;;1828;;VON
725;07.06.;Eppishausen;Adolf Ludwig Follen;116646772;https://de.wikipedia.org/wiki/Adolf_Ludwig_Follen;Follen;;K BLB;Karlsruhe;Badische Landesbibliothek;Gedicht;;1830;;VON
1951;09.07.;Basel;Adolf Ludwig Follen;116646772;https://de.wikipedia.org/wiki/Adolf_Ludwig_Follen;Follen;;L SA;Luzern;Staatsarchiv;;;1822;;AN
1993;21.12.;Aarau;Adolf Ludwig Follen;116646772;https://de.wikipedia.org/wiki/Adolf_Ludwig_Follen;Follen;;B BB;Bern;Burgerbibliothek;;;1823;;AN
2345;14.02.;Altikon;Adolf Ludwig Follen;116646772;https://de.wikipedia.org/wiki/Adolf_Ludwig_Follen;Follen;;W SB;Winterthur;Stadtbibliothek;;;1831;;AN
1048;12.04.;Meersburg;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;93;S WLB;Stuttgart;Württembergische Landesbibliothek;;;1839;;VON
1125;12.05.;Meersburg;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;111;S WLB;Stuttgart;Württembergische Landesbibliothek;;;1841;;VON
1127;02.06.;Meersburg;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;132;S WLB;Stuttgart;Württembergische Landesbibliothek;;;1841;;VON
1129;13.06.;Meersburg;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;153;S WLB;Stuttgart;Württembergische Landesbibliothek;;;1841;;VON
1131;28.06.;Überlingen;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;165;S WLB;Stuttgart;Württembergische Landesbibliothek;;;1841;;VON
1135;20.07.;Meersburg;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;182;S WLB;Stuttgart;Württembergische Landesbibliothek;;;1841;;VON
1144;20.09.;Meersburg;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;249;S WLB;Stuttgart;Württembergische Landesbibliothek;;;1841;;VON
1150;06.11.;Meersburg;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;281;S WLB;Stuttgart;Württembergische Landesbibliothek;;;1841;;VON
2661;17.04.;Zürich;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1839;;AN
2710;05.06.;Stuttgart;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1841;;AN
2713;24.06.;Stuttgart;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1841;;AN
2717;09.07.;Ulm;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1841;;AN
2725;31.10.;Stuttgart;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1841;;AN
2744;02.04.;Stuttgart;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1842;;AN
2761;25.07.;Stuttgart;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1842;;AN
2798;30.04.;Stuttgart;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;1843;;AN
3228;-;-;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);Schott;;M SN;Marbach am Neckar;Schiller Nationalmuseum;;;-;Weitere Angaben in Harris;AN
1662;30.01.;Wien;Alexius zu Bentheim und Steinfurt;116122722;https://de.wikipedia.org/wiki/Alexius_zu_Bentheim_und_Steinfurt;Bentheim;;D FA;Donaueschingen;Fürstlich Fürstenbergisches Archiv;Fragment;;1815;;AN
3052;04.10.;Zürich;Allgemeine Geschichtforschende Gesellschaft der Schweiz;40064-6;https://hls-dhs-dss.ch/de/articles/038329/2012-06-06/;Allg. Geschichtforschende Gesellschaft der Schweiz;;D FA;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1849;;AN
1641;18.12.;Berlin;Aloys Hirt;115368302;https://de.wikipedia.org/wiki/Aloys_Hirt;Hirt;;F UB;Freiburg i.Br.;Universitätsbibliothek;;31,49;1809;;AN
1688;28.07.;Frankfurt_Main;Aloys Hirt;115368302;https://de.wikipedia.org/wiki/Aloys_Hirt;Hirt;;F UB;Freiburg i.Br.;Universitätsbibliothek;;31,5;1817;;AN
1777;12.05.;Berlin;Aloys Hirt;115368302;https://de.wikipedia.org/wiki/Aloys_Hirt;Hirt;;F UB;Freiburg i.Br.;Universitätsbibliothek;;31,52-55;1818;;AN
1541;??;;Aloysia von Koller;-;-;Koller Aloysia;;D FA;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;Weitere Angaben in Harris;VON
2190;30.10.;Heiligenberg;Amalie Christine zu Fu?rstenberg;136284116;https://en.wikipedia.org/wiki/Amalie_of_Baden;Fbg Amalie;;D FA;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1827;;AN
2221;30.10.;Donaueschingen;Amalie Christine zu Fu?rstenberg;136284116;https://en.wikipedia.org/wiki/Amalie_of_Baden;Fbg Amalie;;D FA;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1828;;AN
2390;04.11.;Heiligenberg;Amalie Christine zu Fu?rstenberg;136284116;https://en.wikipedia.org/wiki/Amalie_of_Baden;Fbg Amalie;;D FA;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1831;;AN
2456;06.01.;Kassel;Amalie von Heeremann-Zuydtwik;116565217;-;Heereman;;S AR;Stapel bei Havixbeck;Archiv des Freiherrn Raitz von Frentz-Droste zu Hülshoff;;;1833;;AN
2535;05.04.;Nizza;Amalie von Heeremann-Zuydtwik;116565217;-;Heereman;;S AR;Stapel bei Havixbeck;Archiv des Freiherrn Raitz von Frentz-Droste zu Hülshoff;;;1836;;AN
3030;16.05.;Graz;Amalie von Heeremann-Zuydtwik;116565217;-;Heereman;;S AR;Stapel bei Havixbeck;Archiv des Freiherrn Raitz von Frentz-Droste zu Hülshoff;;;1849;;AN
1677;03.02.;Sigmaringen;Amalie Zephyrine von Salm-Kyrburg;130489670;https://de.wikipedia.org/wiki/Amalie_Zephyrine_von_Salm-Kyrburg;HoSi Amalie;;D FA;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1817;;AN
1927;21.10.;Inzigkofen;Amalie Zephyrine von Salm-Kyrburg;130489670;https://de.wikipedia.org/wiki/Amalie_Zephyrine_von_Salm-Kyrburg;HoSi Amalie;;D FA;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1821;;AN
2385;11.10.;Inzigkofen;Amalie Zephyrine von Salm-Kyrburg;130489670;https://de.wikipedia.org/wiki/Amalie_Zephyrine_von_Salm-Kyrburg;HoSi Amalie;;D FA;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1831;;AN
2407;07.03.;Sigmaringen;Amalie Zephyrine von Salm-Kyrburg;130489670;https://de.wikipedia.org/wiki/Amalie_Zephyrine_von_Salm-Kyrburg;HoSi Amalie;;D FA;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1832;;AN
2640;26.08.;Inzigkofen;Amalie Zephyrine von Salm-Kyrburg;130489670;https://de.wikipedia.org/wiki/Amalie_Zephyrine_von_Salm-Kyrburg;HoSi Amalie;;K BLB;Karlsruhe;Badische Landesbibliothek;;;1838;;AN
1454;21.11.;Meersburg;Ambroise Zobel;-;-;Zobel;;K BLB;Karlsruhe;Badische Landesbibliothek;;;1850;;VON
2905;24.03.;Augsburg;Andreas Eigner;116418842;https://de.wikipedia.org/wiki/Andreas_Eigner;Eigner;;K BLB;Karlsruhe;Badische Landesbibliothek;;;1846;;AN
1845;21.03.;Paris;Andreas von Merian;116891971;https://lobid.org/gnd/116891971;Merian;;K BLB;Karlsruhe;Badische Landesbibliothek;;;1820;;AN
2793;19.03.;Basel;Anna Catharina (Line) Burckhardt;-;-;Burckhardt L.;;D FH;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;1843;;AN
1432;14.10.;Meersburg;Anna von Arnswaldt;116352604;https://de.wikipedia.org/wiki/Anna_von_Arnswaldt;Arnswaldt Anna;163;B DS;Berlin;Deutsche Staatsbibliothek;;;1849;;VON
1435;31.11.;Meersburg;Anna von Arnswaldt;116352604;https://de.wikipedia.org/wiki/Anna_von_Arnswaldt;Arnswaldt Anna;174;B DS;Berlin;Deutsche Staatsbibliothek;;;1849;;VON
1448;22.06.;Meersburg;Anna von Arnswaldt;116352604;https://de.wikipedia.org/wiki/Anna_von_Arnswaldt;Arnswaldt Anna;;B DS;Berlin;Deutsche Staatsbibliothek;;;1850;;VON
924;05.01.;Eppishausen;Annette von Droste-Hülshoff;118527533;https://de.wikipedia.org/wiki/Annette_von_Droste-H%C3%BClshoff;Droste Annette;3;N GN;Nürnberg;Germanisches Nationalmuseum;;26;1837;;VON
2397;Jan.;Rüschhaus;Annette von Droste-Hülshoff;118527533;https://de.wikipedia.org/wiki/Annette_von_Droste-H%C3%BClshoff;Droste Annette;;;;;Abschrift, Fragment;27,129;1832;;AN
