Ort;coordinates_wiki;place_id
Aarau;47.4,8.05;lassberg-place-0001
Ägeri (Zug);-;lassberg-place-0002
Alme;-;lassberg-place-0003
Altenau;-;lassberg-place-0004
Altikon;47.56666667,8.78333333;lassberg-place-0005
Ansbach;49.3,10.58333333;lassberg-place-0006
Ãœberlingen;-;lassberg-place-0007
Arbon;47.51666667,9.43333333;lassberg-place-0008
Arenenberg;47.67277778,9.05916667;lassberg-place-0009
Aschaffenburg;49.96666667,9.15;lassberg-place-0010
Ã–ttingen;-;lassberg-place-0011
Augsburg;48.36888889,10.89777778;lassberg-place-0012
BÃ¶kendorf;-;lassberg-place-0013
BÃ¼ckeburg;-;lassberg-place-0014
Bachzimmern;-;lassberg-place-0015
Baden (Aargau);-;lassberg-place-0016
Baden-Baden;48.76277778,8.24083333;lassberg-place-0017
Barchfeld;50.80055556,10.30388889;lassberg-place-0018
Basel;47.55472222,7.59055556;lassberg-place-0019
Bern;46.94805556,7.4475;lassberg-place-0020
Berg am Irchel;47.56666667,8.6;lassberg-place-0021
Berlin;52.52,13.405;lassberg-place-0022
Biesenhofen;-;lassberg-place-0023
Biethingen;-;lassberg-place-0024
Bischofszell;47.5,9.23333333;lassberg-place-0025
Bollwiler;-;lassberg-place-0026
Bonn;50.73333333,7.1;lassberg-place-0027
Bozen;-;lassberg-place-0028
Brauneberg;49.90833333,6.98527778;lassberg-place-0029
Bregenz;47.505,9.74916667;lassberg-place-0030
Breslau;-;lassberg-place-0031
Bruchhausen;50.60388889,7.25305556;lassberg-place-0032
Bubenbach;-;lassberg-place-0033
Buchackern;-;lassberg-place-0034
Catanea;-;lassberg-place-0035
Darmstadt;49.87222222,8.65277778;lassberg-place-0036
Donaueschingen;47.95305556,8.50333333;lassberg-place-0037
Dornbirn;47.41388889,9.74444444;lassberg-place-0038
Dreissigacker;-;lassberg-place-0039
Dresden;51.05,13.74;lassberg-place-0040
Engelberg;46.82104194,8.40897611;lassberg-place-0041
Engen;-;lassberg-place-0042
Eppishausen;48.16666667,10.51666667;lassberg-place-0043
Erolzheim;48.09111111,10.07194444;lassberg-place-0044
Erpernburg;-;lassberg-place-0045
Feuerthalen;47.68333333,8.65;lassberg-place-0046
Florenz;-;lassberg-place-0047
Frankfurt am Main;-;lassberg-place-0048
Frauenfeld;47.55,8.9;lassberg-place-0049
Freiburg i. Brsg;-;lassberg-place-0050
Friedrichshafen;47.65,9.48333333;lassberg-place-0051
Fulda;50.55083333,9.67527778;lassberg-place-0052
GÃ¶ttingen;-;lassberg-place-0053
Geisingen;47.92222222,8.64638889;lassberg-place-0054
Gomaringen;48.452,9.1;lassberg-place-0055
