url;signature_letter;place_letter;date_letter;letter_id
https://dl.ub.uni-freiburg.de/diglit/autogr1573/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1573;Baden-Baden;1844-07-08;lassberg-letter-2480
https://dl.ub.uni-freiburg.de/diglit/autogr1574/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1574;Baden-Baden;1844-12-12;lassberg-letter-2501
https://dl.ub.uni-freiburg.de/diglit/autogr1575/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1575;Baden-Baden;1845-09-24;lassberg-letter-2563
https://dl.ub.uni-freiburg.de/diglit/autogr0379/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 379;Bonn;1866-05-09;No letter found
https://dl.ub.uni-freiburg.de/diglit/autogr0380/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 380;Basel;1834-06-23;lassberg-letter-1786
https://dl.ub.uni-freiburg.de/diglit/autogr0382/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 382;Eppishausen bei Konstanz;1831-07-03;lassberg-letter-1565
https://dl.ub.uni-freiburg.de/diglit/autogr1144/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1144;Meersburg;1845-09-24;lassberg-letter-2562
https://dl.ub.uni-freiburg.de/diglit/autogr1389/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1389;Eppishausen im Thurgau;1830-01-30;lassberg-letter-1404
https://dl.ub.uni-freiburg.de/diglit/autogr1390/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1390;Eppishausen im Thurgau;1831-03-26;lassberg-letter-1537
https://dl.ub.uni-freiburg.de/diglit/autogr1392/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1392;Meersburg;1850-01-28;lassberg-letter-2901
https://dl.ub.uni-freiburg.de/diglit/autogr1393/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1393;Meersburg;1850-02-14;lassberg-letter-2902
https://dl.ub.uni-freiburg.de/diglit/autogr1394/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1394;Meersburg;1850-06-26;lassberg-letter-2921
https://dl.ub.uni-freiburg.de/diglit/autogr1529/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1529;Hugstetten;1848-09-24;lassberg-letter-2791
https://dl.ub.uni-freiburg.de/diglit/autogr1530/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1530;Hugstetten;1848-12-12;lassberg-letter-2801
https://dl.ub.uni-freiburg.de/diglit/autogr1531/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1531;Freiburg im Breisgau;1848-12-24;lassberg-letter-2805
https://dl.ub.uni-freiburg.de/diglit/autogr1532/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1532;Hugstetten;1849-08-05;lassberg-letter-2858
https://dl.ub.uni-freiburg.de/diglit/autogr1533/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1533;Hugstetten;1849-08-19;lassberg-letter-2868
https://dl.ub.uni-freiburg.de/diglit/autogr1534/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1534;Hugstetten;1849-10-09;lassberg-letter-2884
https://dl.ub.uni-freiburg.de/diglit/autogr1535/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1535;Hugstetten;1850-05-08;lassberg-letter-2913
https://dl.ub.uni-freiburg.de/diglit/autogr1537/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1537;Freiburg im Breisgau;1851-01-07;lassberg-letter-2953
https://dl.ub.uni-freiburg.de/diglit/autogr1538/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1538;Hugstetten;1851-06-29;lassberg-letter-2980
https://dl.ub.uni-freiburg.de/diglit/autogr1547/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1547;Freiburg im Breisgau;1820-06-02;lassberg-letter-0649
https://dl.ub.uni-freiburg.de/diglit/autogr1548/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1548;Freiburg im Breisgau;1820-09-27;lassberg-letter-0661
https://dl.ub.uni-freiburg.de/diglit/autogr1549/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1549;Freiburg im Breisgau;1820-10-18;lassberg-letter-0667
https://dl.ub.uni-freiburg.de/diglit/autogr1550/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1550;Freiburg im Breisgau;1820-11-11;lassberg-letter-0672
https://dl.ub.uni-freiburg.de/diglit/autogr1551/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1551;Freiburg im Breisgau;1821-01-02;lassberg-letter-0686
https://dl.ub.uni-freiburg.de/diglit/autogr1552/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1552;Freiburg im Breisgau;1822-04-07;lassberg-letter-0775
https://dl.ub.uni-freiburg.de/diglit/autogr1553/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1553;Freiburg im Breisgau;1823-06-06;lassberg-letter-0846
https://dl.ub.uni-freiburg.de/diglit/autogr1554/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1554;Freiburg im Breisgau;1823-11-07;lassberg-letter-0869
https://dl.ub.uni-freiburg.de/diglit/autogr1555/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1555;Freiburg im Breisgau;1823-11-18;lassberg-letter-0875
https://dl.ub.uni-freiburg.de/diglit/autogr1557/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1557;Freiburg im Breisgau;1825-04-25;lassberg-letter-0987
https://dl.ub.uni-freiburg.de/diglit/autogr1558/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1558;Freiburg im Breisgau;1825-07-03;lassberg-letter-1005
https://dl.ub.uni-freiburg.de/diglit/autogr1559/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1559;Freiburg im Breisgau;1825-09-29;lassberg-letter-1035
https://dl.ub.uni-freiburg.de/diglit/autogr1560/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1560;Freiburg im Breisgau;1826-09-15;lassberg-letter-1112
