Nummer,Datum,Ort,Name_voll,GND,Wiki,Journalnummer,Aufbewahrungsort,Aufbewahrungsinstitution,Jahr,VON/AN,person_id,name_gnd,gender_gnd,birth_gnd,occupations_gnd,publications_gnd,degrees_gnd,coordinates_wiki,text,url,place_id
1,08.03.,Donaueschingen,RegierungsprÃƒÂ¤sidium,-,-,,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1792,VON,lassberg-correspondent-0328,-,-,-,-,-,-,"47.95305556,8.50333333",,,lassberg-place-0037
2,19.09.,Donaueschingen,Hofkammer,-,-,,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1792,VON,lassberg-correspondent-0165,-,-,-,-,-,-,"47.95305556,8.50333333",,,lassberg-place-0037
3,01.02.,Heiligenberg,Joseph Maria Benedikt zu FÃƒÂ¼rstenberg-StÃƒÂ¼hlingen,1021174238,https://de.wikipedia.org/wiki/Joseph_Maria_%28F%C3%BCrstenberg-St%C3%BChlingen%29,,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1795,VON,lassberg-correspondent-0234,"Joseph Maria Benedikt Karl, FÃƒÂ¼rstenberg, FÃƒÂ¼rst",male,1758,-,-,-,"47.82083333,9.3125",,,lassberg-place-0066
4,18.11.,Unbekannt,Hofkammer,-,-,,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1795,VON,lassberg-correspondent-0165,-,-,-,-,-,-,-,,,lassberg-place-0152
5,20.08.,Heiligenberg,Hofkammer,-,-,,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1799,VON,lassberg-correspondent-0165,-,-,-,-,-,-,"47.82083333,9.3125",,,lassberg-place-0066
6,28.02.,Helmsdorf,Joseph Roth von Schreckenstein,100660355,https://de.wikipedia.org/wiki/Friedrich_Josef_Anton_von_Schreckenstein,62,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1800,VON,lassberg-correspondent-0236,"Roth von Schreckenstein, Friedrich",male,1753,"Naturwissenschaftler,Beamter",4,-,-,,,lassberg-place-0067
7,25.04.,Heiligenberg,Hofkammer,-,-,,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1800,VON,lassberg-correspondent-0165,-,-,-,-,-,-,"47.82083333,9.3125",,,lassberg-place-0066
8,18.07.,Heiligenberg,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergische Forstkammer,-,-,,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1800,VON,lassberg-correspondent-0129,-,-,-,-,-,-,"47.82083333,9.3125",,,lassberg-place-0066
9,01.01.,Helmsdorf,Joseph Roth von Schreckenstein,100660355,https://de.wikipedia.org/wiki/Friedrich_Josef_Anton_von_Schreckenstein,3,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1801,VON,lassberg-correspondent-0236,"Roth von Schreckenstein, Friedrich",male,1753,"Naturwissenschaftler,Beamter",4,-,-,,,lassberg-place-0067
10,10.04.,Heiligenberg,Karl Joachim (FÃƒÂ¼rstenberg-StÃƒÂ¼hlingen),1017810869,https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen),,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1802,VON,lassberg-correspondent-0259,"Karl Joachim, FÃƒÂ¼rstenberg, FÃƒÂ¼rst",male,1771,Soldat,-,-,"47.82083333,9.3125",,,lassberg-place-0066
11,21.08.,Heiligenberg,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergische Forstkammer,-,-,,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1802,VON,lassberg-correspondent-0129,-,-,-,-,-,-,"47.82083333,9.3125",,,lassberg-place-0066
12,12.09.,Habstal,Hofkammer,-,-,,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1802,VON,lassberg-correspondent-0165,-,-,-,-,-,-,-,,,lassberg-place-0062
13,26.09.,Helmsdorf,Luise zu Stolberg-Gedern,116275316,https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824),,Karlsruhe,Badische Landesbibliothek,1802,VON,lassberg-correspondent-0291,"Albany, Louise Maximiliane Caroline Emanuele of",female,1752,-,2,-,-,,,lassberg-place-0067
14,01.10.,Heiligenberg,Karl Joachim (FÃƒÂ¼rstenberg-StÃƒÂ¼hlingen),1017810869,https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen),,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1802,VON,lassberg-correspondent-0259,"Karl Joachim, FÃƒÂ¼rstenberg, FÃƒÂ¼rst",male,1771,Soldat,-,-,"47.82083333,9.3125",,,lassberg-place-0066
15,02.10.,Heiligenberg,Schneider,-,-,,Karlsruhe,Badische Landesbibliothek,1802,VON,lassberg-correspondent-0336,-,-,-,-,-,-,"47.82083333,9.3125",,,lassberg-place-0066
16,30.10.,Heiligenberg,Karl Joachim (FÃƒÂ¼rstenberg-StÃƒÂ¼hlingen),1017810869,https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen),,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1802,VON,lassberg-correspondent-0259,"Karl Joachim, FÃƒÂ¼rstenberg, FÃƒÂ¼rst",male,1771,Soldat,-,-,"47.82083333,9.3125",,,lassberg-place-0066
17,14.11.,Helmsdorf,Luise zu Stolberg-Gedern,116275316,https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824),,Karlsruhe,Badische Landesbibliothek,1802,VON,lassberg-correspondent-0291,"Albany, Louise Maximiliane Caroline Emanuele of",female,1752,-,2,-,-,,,lassberg-place-0067
18,16.11.,Helmsdorf,Joseph von Bayer,-,-,,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1802,VON,lassberg-correspondent-0239,-,-,-,-,-,-,-,,,lassberg-place-0067
19,12.06.,Heiligenberg,Luise zu Stolberg-Gedern,116275316,https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824),,Karlsruhe,Badische Landesbibliothek,1803,VON,lassberg-correspondent-0291,"Albany, Louise Maximiliane Caroline Emanuele of",female,1752,-,2,-,"47.82083333,9.3125",,,lassberg-place-0066
20,10.07.,Unbekannt,Luise zu Stolberg-Gedern,116275316,https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824),,Karlsruhe,Badische Landesbibliothek,1804,VON,lassberg-correspondent-0291,"Albany, Louise Maximiliane Caroline Emanuele of",female,1752,-,2,-,-,,,lassberg-place-0152
21,20.01.,Unbekannt,Luise zu Stolberg-Gedern,116275316,https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824),,Karlsruhe,Badische Landesbibliothek,1804,VON,lassberg-correspondent-0291,"Albany, Louise Maximiliane Caroline Emanuele of",female,1752,-,2,-,-,,,lassberg-place-0152
22,06.02.,Heiligenberg,Luise zu Stolberg-Gedern,116275316,https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824),,Karlsruhe,Badische Landesbibliothek,1804,VON,lassberg-correspondent-0291,"Albany, Louise Maximiliane Caroline Emanuele of",female,1752,-,2,-,"47.82083333,9.3125",,,lassberg-place-0066
23,28.03.,Heiligenberg,Luise zu Stolberg-Gedern,116275316,https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824),,Karlsruhe,Badische Landesbibliothek,1804,VON,lassberg-correspondent-0291,"Albany, Louise Maximiliane Caroline Emanuele of",female,1752,-,2,-,"47.82083333,9.3125",,,lassberg-place-0066
24,21.06.,Donaueschingen,Joachim Egon zu FÃƒÂ¼rstenberg,143295446,https://de.wikipedia.org/wiki/Joachim_Egon_zu_F%C3%BCrstenberg,,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1804,VON,lassberg-correspondent-0177,"FÃƒÂ¼rstenberg-Weitra, Joachim Eugen zu",male,1749,-,-,-,"47.95305556,8.50333333",,,lassberg-place-0037
25,06.10.,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergische Forstkammer,-,-,,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1804,VON,lassberg-correspondent-0129,-,-,-,-,-,-,"47.95305556,8.50333333",,,lassberg-place-0037
